place_id;Bueno;Malo;Restaurante;latitude;longitude;Reviews;Calificacion
ChIJlTK-eCiaP44R_EBAP6zP_iM;La mayoría de los comensales elogia la calidad de la comida, destacando especialmente las hamburguesas y otros platillos que son considerados deliciosos y bien preparados. Muchos mencionan que el servicio es rápido y amable, lo que contribuye a una experiencia positiva. Además, el ambiente es valorado como acogedor y cómodo, aunque algunos sugieren que podría beneficiarse de una mejor ventilación.;Existen comentarios sobre inconsistencias en el servicio, con algunos clientes reportando atención deficiente y errores en los pedidos. También se menciona que el espacio es algo reducido, lo que puede hacer que el lugar se sienta abarrotado, especialmente en horas pico. Algunos clientes han notado que los precios han aumentado y que las porciones han disminuido, lo que podría ser un factor a considerar al visitar.;El Corral Javeriana;4.6286573;-74.0654668;https://www.google.com/maps/place/?q=place_id:ChIJlTK-eCiaP44R_EBAP6zP_iM;4.833333333333333
ChIJkQCpfiiaP44RzKgT6RU1c7w;Los clientes destacan la excelente relación calidad-precio del restaurante, especialmente en el menú del día, que ofrece platos variados y bien balanceados. La comida es generalmente considerada deliciosa, con una buena sazón y porciones generosas. Además, el ambiente es agradable y acogedor, con un servicio que suele ser rápido y amable, lo que hace que muchos lo recomienden como un buen lugar para desayunar o almorzar.;Algunos comensales han tenido experiencias negativas con el servicio, mencionando demoras significativas en la atención y problemas con la temperatura de los alimentos, como sopas frías. También hay comentarios sobre la inconsistencia en la calidad de la comida, con algunos clientes sintiendo que ha bajado en comparación con visitas anteriores. Además, se sugiere que el restaurante podría mejorar en la limpieza de las mesas y sillas.;Zarzamora;4.6288184;-74.0656281;https://www.google.com/maps/place/?q=place_id:ChIJkQCpfiiaP44RzKgT6RU1c7w;4.6
ChIJsd76eyiaP44RRmmxysDBH9s;Muchos clientes destacan el sabor de las hamburguesas, considerándolas deliciosas y bien preparadas. La atención del personal también recibe elogios, con comentarios sobre la amabilidad y rapidez del servicio en general. Además, el ambiente es valorado positivamente por algunos, quienes lo encuentran cómodo y limpio, ideal para disfrutar de una comida rápida.;Existen quejas sobre la inconsistencia en la calidad de la comida, con algunos clientes mencionando que la carne no es fresca y que los ingredientes no cumplen con las expectativas. El servicio puede ser lento, especialmente en momentos de alta demanda, y hay comentarios sobre la presencia de vendedores ambulantes que afectan la experiencia. También se menciona que los precios son considerados altos en relación con la cantidad de comida servida.;Presto Javeriana;4.6286973;-74.0656965;https://www.google.com/maps/place/?q=place_id:ChIJsd76eyiaP44RRmmxysDBH9s;4.466666666666667
ChIJd93M1yeaP44RUhHR-fWfa40;Los clientes elogian la calidad y el sabor de la comida mexicana, destacando especialmente los burros al pastor y la salsa que los acompaña. Muchos mencionan que el servicio es rápido y amable, lo que contribuye a una experiencia agradable. El ambiente del lugar también recibe comentarios positivos, siendo descrito como limpio y cómodo, ideal para disfrutar en familia o con amigos. Además, los precios son considerados razonables por la mayoría, lo que lo convierte en una opción atractiva para quienes buscan buena comida a un costo accesible.;Algunos comensales han expresado preocupaciones sobre la consistencia en la calidad de los platillos, mencionando que ciertos tacos pueden resultar secos o sin mucho sabor. También hay comentarios sobre la falta de atención al cliente en ocasiones, con experiencias de servicio que no cumplen con las expectativas. Además, se ha señalado que el lugar puede sentirse más como una franquicia de comida rápida que un restaurante tradicional, lo que podría decepcionar a quienes buscan una experiencia más auténtica. Por último, se ha reportado un incidente preocupante relacionado con la higiene que podría afectar la percepción del lugar.;El Carnal - Javeriana;4.6282175;-74.0650642;https://www.google.com/maps/place/?q=place_id:ChIJd93M1yeaP44RUhHR-fWfa40;4.6
ChIJa1Lm7TqbP44R6tGc9ikbMEE;Los clientes destacan la calidad y el sabor de la comida, especialmente los burritos y tacos, que son descritos como frescos y abundantes. El servicio es otro de los puntos fuertes, con meseras amables y atentas que hacen que la experiencia sea aún más agradable. Muchos elogian la relación calidad-precio, considerando que los precios son muy razonables para la calidad de los platillos. Además, el ambiente es acogedor y familiar, lo que contribuye a una experiencia positiva.;Algunos comensales han mencionado que la comida puede tardar un poco en llegar, especialmente en horas pico, por lo que se recomienda ir con tiempo. También hay comentarios sobre la inconsistencia en la frescura de algunas salsas, que podrían mejorar. Aunque la mayoría de las reseñas son muy positivas, hay un par de opiniones que sugieren que la comida podría tener margen de mejora.;El Mero Burrito;4.6291384;-74.0651231;https://www.google.com/maps/place/?q=place_id:ChIJa1Lm7TqbP44R6tGc9ikbMEE;4.933333333333334
ChIJGfaAGiaaP44RyfpYJY-0jfs;Los clientes disfrutan de la calidad y el sabor de las alitas, destacando especialmente las de BBQ y finas hierbas. Muchos elogian el servicio, que es considerado amable y eficiente, y el ambiente del restaurante, que es acogedor y cómodo. La música y la posibilidad de elegir dónde sentarse también son aspectos muy valorados. Además, algunos mencionan que los precios son razonables en comparación con la calidad de la comida.;Existen quejas sobre la inconsistencia en la preparación de las alitas, con algunos clientes reportando que estaban demasiado saladas o mal cocidas. También se han mencionado demoras en el servicio, especialmente en momentos de alta afluencia, y la falta de utensilios adecuados para servir las bebidas. Algunos consideran que los precios son altos en relación con la cantidad de comida servida, lo que podría ser un factor a considerar antes de visitar.;Alitas Colombianas Javeriana;4.629262199999999;-74.0650757;https://www.google.com/maps/place/?q=place_id:ChIJGfaAGiaaP44RyfpYJY-0jfs;4.515151515151516
ChIJ4YrFKyaaP44RqZYyxENMbwg;Los clientes elogian la calidad y el sabor de la comida, destacando especialmente las carnes a la parrilla, los sándwiches y las ensaladas, que son considerados deliciosos y bien preparados. Muchos mencionan la generosidad de las porciones y la buena relación calidad-precio, lo que hace que el lugar sea muy recomendable. Además, el ambiente es descrito como limpio y cómodo, con un servicio generalmente amable y rápido, lo que contribuye a una experiencia agradable.;Algunos comensales han reportado problemas con el servicio, como demoras en la atención y errores en los pedidos, lo que puede afectar la experiencia. También hay comentarios sobre la calidad inconsistente de algunos platillos, como papas fritas frías o sobrecocidas, y la falta de ciertos acompañamientos. Además, el espacio del restaurante es considerado pequeño, lo que puede resultar incómodo en horas pico. Es recomendable verificar los precios finales, ya que algunos clientes mencionan cargos adicionales no informados.;Restaurante CRIOLLO;4.629330299999999;-74.0650739;https://www.google.com/maps/place/?q=place_id:ChIJ4YrFKyaaP44RqZYyxENMbwg;4.666666666666667
ChIJD8JmfCiaP44RsN-a8pdJ_uk;Los clientes disfrutan de la comida casera y deliciosa que ofrece el lugar, destacando la variedad del menú y los precios accesibles. Muchos elogian el excelente servicio y la amabilidad del personal, lo que contribuye a una experiencia agradable. Además, el ambiente es descrito como acogedor y tranquilo, ideal para compartir con amigos o relajarse después de un día de trabajo o estudio.;Algunos comensales han mencionado que el espacio puede ser un poco estrecho, lo que dificulta acomodar a grupos grandes. También hay comentarios sobre la inconsistencia en los pedidos, como recibir un plato diferente al solicitado. Por otro lado, se sugiere mejorar las medidas de bioseguridad, como el uso de tapabocas por parte del personal.;Barra Café;4.6288485;-74.0657477;https://www.google.com/maps/place/?q=place_id:ChIJD8JmfCiaP44RsN-a8pdJ_uk;4.733333333333333
ChIJe6pk7jmbP44RY8MkWeCTI4s;Los clientes disfrutan de la variedad y el sabor de los platos, especialmente el ramen picante y el teokkbokki, que son altamente recomendados. El ambiente del restaurante es otro punto fuerte, con una decoración temática que atrae a los fanáticos del K-pop y crea una experiencia agradable. Además, muchos elogian la atención al cliente, destacando la amabilidad y rapidez del servicio en general.;Existen quejas sobre la inconsistencia en la atención al cliente, con algunos comensales reportando demoras en el servicio y actitudes poco amables por parte del personal. También hay comentarios sobre la calidad de la comida, donde algunos consideran que no cumple con las expectativas, especialmente en comparación con otras sedes. Además, se menciona que las porciones pueden ser pequeñas en relación con el precio, lo que podría ser un factor a considerar al elegir este lugar.;CHOS KOREAN FAST FOOD JAVERIANA;4.6291167;-74.0657574;https://www.google.com/maps/place/?q=place_id:ChIJe6pk7jmbP44RY8MkWeCTI4s;4.477124183006536
ChIJD6l7KM6bP44RkUQS4t4W4II;Los clientes destacan la calidad y el sabor del churrasco, considerándolo uno de los mejores de Bogotá. Muchos elogian la generosidad de las porciones y los precios accesibles, lo que lo convierte en una opción popular para almuerzos. La atención al cliente también recibe buenos comentarios, con menciones sobre el servicio rápido y amable, lo que mejora la experiencia general en el restaurante. Además, los acompañamientos como las papas fritas y el guacamole son frecuentemente recomendados.;Algunos comensales han tenido experiencias negativas con la calidad de la carne, mencionando que en ocasiones llega dura o fría. También hay que tener en cuenta que el servicio puede ser inconsistente, con quejas sobre la atención de ciertos empleados y demoras en la entrega de los pedidos. Además, el ambiente del lugar es descrito como sencillo y, en ocasiones, incómodo, lo que podría afectar la experiencia de los visitantes.;Churrasqueria El Nene;4.628979199999999;-74.065901;https://www.google.com/maps/place/?q=place_id:ChIJD6l7KM6bP44RkUQS4t4W4II;4.666666666666667
